ID,Specie,Year,Month,Author,Locality,Latitude,Longitude,Depth..m.,Area..m2.,Estimated.coordinates,Reference,ANP,Estimated.Area,Area.Loss,Loss.Index,Pollution,Coastal.Modification,Biological.Resource.Use,MHWs,Protection.Level,Validation,Threat.index,Red.List.Category,Zone,State,Region,
11,Halodule wrightii,2013,April-December,Garcia-Trasvina,Punta Roca,24.2,-110.3,1,182600,No,"Caracterizacion y cuantificacion de biomasa de tres especies de pastos marinos en Punta Roca Caimancito, Baja California Sur",No,0,182600,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur ,Southern Gulf,
12,Ruppia maritima,2013,April-December,Garcia-Trasvina,Punta Roca,24.2,-110.3,1,182600,No,"Caracterizacion y cuantificacion de biomasa de tres especies de pastos marinos en Punta Roca Caimancito, Baja California Sur",No,0,182600,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur ,Southern Gulf,
13,Halophila decipiens,2013,June-December,Garcia-Trasvina,Punta Roca,24.2,-110.3,DD,182600,No,"Caracterizacion y cuantificacion de biomasa de tres especies de pastos marinos en Punta Roca Caimancito, Baja California Sur",No,0,182600,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur ,Southern Gulf,
14,Halodule wrightii,2014,January-July,Garcia-Trasvina,Punta Roca,24.2,-110.3,1,182600,No,"Caracterizacion y cuantificacion de biomasa de tres especies de pastos marinos en Punta Roca Caimancito, Baja California Sur",No,0,182600,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur ,Southern Gulf,
15,Ruppia maritima,2014,January-July,Garcia-Trasvina,Punta Roca,24.2,-110.3,1,182600,No,"Caracterizacion y cuantificacion de biomasa de tres especies de pastos marinos en Punta Roca Caimancito, Baja California Sur",No,0,182600,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur ,Southern Gulf,
16,Halophila decipiens,2014,January-July,Garcia-Trasvina,Punta Roca,24.2,-110.3,DD,182600,No,"Caracterizacion y cuantificacion de biomasa de tres especies de pastos marinos en Punta Roca Caimancito, Baja California Sur",No,DD,182600,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur ,Southern Gulf,
17,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Punta Chueca,29.01,-112.16,DD,2212200,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),537047.13,1675152.87,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
18,Ruppia maritima,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.042,-112.207,DD,243000,Yes,"Inventory, monitoring and impact assessment of marine biodiversity in the Seri Indian territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,243000,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
19,Ruppia maritima,2011,April,Hinojosa-Arango,El Requeson,26.64,-111.83,0-10,337000,Yes,Using GIS methods to evaluate rhodolith and sargassum beds as critical habitats for commercially important marine species in Bahia Concepcion. B.C.S. Mexico,Parque Nacional Bahia de Loreto,DD,337000,NA,1,0,0,0.985410801,0.5,0,0.414235134,VU,Bahia Concepcion,Baja California Sur,Central Gulf,
20,Zostera marina,2011,April,Hinojosa-Arango,El Requeson,26.64,-111.83,0-10,337000,Yes,Using GIS methods to evaluate rhodolith and sargassum beds as critical habitats for commercially important marine species in Bahia Concepcion. B.C.S. Mexico,Parque Nacional Bahia de Loreto,DD,337000,NA,1,0,0,0.985410801,0.5,0,0.414235134,VU,Bahia Concepcion,Baja California Sur,Central Gulf,
21,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Isla Tiburon,28.89,-112.24,DD,3940000,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
22,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Bahia El Sargento,29.32,-112.31,DD,1162000,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo. Gulf of California. Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),537047.13,624952.87,NA,0,0,0,0.561044279,0.5,0.5,0.260174047,NT,Canal del Infiernillo ,Sonora,Central Gulf,
23,Halodule wrightii,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.17,-112.27,DD,3045000,Yes,"Inventory, monitoring and impact assessment of marine biodiversity in the Seri Indian territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
24,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.13,-112.22,DD,3642000,Yes,"Inventory, monitoring and impact assessment of marine biodiversity in the Seri Indian territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
25,Zostera marina,1970,August,Ortega y Oliva-Martinez,Agiabampo,26.23,-109.14,DD,DD,No,La vegetacion sumergida en la Laguna Agiabampo,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,0,1,0.840542616,0.5,0.5,0.640090436,EN,Agiabampo,Sonora,Central Gulf,
26,Zostera marina,1970,August,Ortega y Oliva-Martinez,Agiabampo,26.24,-109.17,DD,DD,No,La vegetacion sumergida en la Laguna Agiabampo,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,0,1,0.840542616,0.5,0.5,0.640090436,EN,Agiabampo,Sonora,Central Gulf,
27,Zostera marina,1970,February,Ortega y Oliva-Martinez,Agiabampo,26.24,-109.28,DD,DD,No,La vegetacion sumergida en la Laguna Agiabampo,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,0,1,0.840542616,0.5,0,0.556757103,EN,Agiabampo,Sonora,Central Gulf,
28,Zostera marina,1970,February-May,Ortega y Oliva-Martinez,Agiabampo,26.23,-109.28,DD,DD,No,La vegetacion sumergida en la Laguna Agiabampo,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,0,1,0.840542616,0.5,0,0.556757103,EN,Agiabampo,Sonora,Central Gulf,
29,Zostera marina,1970,May,Ortega y Oliva-Martinez,Agiabampo,26.28,-109.24,DD,DD,No,La vegetacion sumergida en la Laguna Agiabampo,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,0,1,0.68364474,0.5,1,0.697274123,CR,Agiabampo,Sonora,Central Gulf,
30,Halodule wrightii,1986,May,Ortega y Oliva-Martinez,Agiabampo,26.33,-109.21,DD,DD,Yes,La vegetacion sumergida en la Laguna Agiabampo,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,0,1,0.68364474,0.5,1,0.697274123,CR,Agiabampo,Sonora,Central Gulf,
31,Ruppia maritima,2009,DD,Meling-Lopez,Agiabampo,26.37,-109.17,DD,DD,No,Com.Pers.,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,0,1,0.68364474,0.5,1,0.697274123,CR,Agiabampo,Sonora,Central Gulf,
32,Ruppia maritima,2009,DD,Meling-Lopez,Agiabampo,26.44,-109.24,DD,DD,No,Com.Pers.,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,0,1,0.68364474,0.5,0.5,0.61394079,EN,Agiabampo,Sonora,Central Gulf,
33,Zostera marina,1986-1988,DD,Ramirez-Garcia y Lot,Agiabampo,26.33,-109.21,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,0,1,0.68364474,0.5,0.5,0.61394079,EN,Agiabampo,Sonora,Central Gulf,
34,Zostera marina,2000-2002,March-June,Muniz-Salazar et al.,Agiabampo,26.36,-109.23,DD,DD,No,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,0,1,0.68364474,0.5,1,0.697274123,CR,Agiabampo,Sonora,Central Gulf,
35,Zostera marina,2000-2002,March-June,Riosmena-Rodriguez et al.,Agiabampo,26.36,-109.23,DD,DD,Yes,Conservation status of Zostera marina populations at Mexican Pacific,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,0,1,0.68364474,0.5,1,0.697274123,CR,Agiabampo,Sonora,Central Gulf,
36,Zostera marina,2000-2002,March-June,Talbots et al.,Agiabampo,26.38,-109.25,DD,DD,Yes,The structure of genetic diversity in Eelgrass (Zostera marina L.) along the North Pacific and Bering Sea coasts of Alaska,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,0,1,0.68364474,0.5,0.5,0.61394079,EN,Agiabampo,Sonora,Central Gulf,
37,Zostera marina,2000-2002,November-May,Muniz-Salazar et al.,Agiabampo,26.36,-109.23,DD,DD,No,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,0,1,0.68364474,0.5,1,0.697274123,CR,Agiabampo,Sonora,Central Gulf,
38,Ruppia maritima,1966,May,Gonzalez,Ahome,25.58,-109.12,DD,DD,Yes,MEXU,No,DD,DD,NA,1,1,1,0.567699002,1,0,0.761283167,CR,Topolobampo,Sinaloa,Southern Gulf,
39,Zostera marina,1966,May,Gonzalez,Ahome,25.58,-109.12,DD,DD,Yes,MEXU,No,DD,DD,NA,1,1,1,0.567699002,1,0,0.761283167,CR,Topolobampo,Sinaloa,Southern Gulf,
40,Zostera marina,1970,DD,Den Hartog,Altata,24.57,-107.84,DD,DD,No,The seagrasses of the world,Sitio Ramsar Ensenada de Pabellones,DD,DD,NA,1,1,1,0.444330689,0.5,1,0.824055115,CR,Altata,Sinaloa,Southern Gulf,
41,Zostera marina,1970,DD,Den Hartog,Altata,24.63,-107.94,DD,DD,No,The seagrasses of the world,Sitio Ramsar Ensenada de Pabellones,DD,DD,NA,1,1,1,0.444330689,0.5,0,0.657388448,EN,Altata,Sinaloa,Southern Gulf,
42,Zostera marina,1976,DD,Felger y Lowe,Altata,24.63,-107.94,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Ensenada de Pabellones,DD,DD,NA,1,1,1,0.444330689,0.5,0,0.657388448,EN,Altata,Sinaloa,Southern Gulf,
43,Ruppia maritima,1976,DD,Felger y Lowe,Bacochibampo,26.31,-109.22,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,1,1,0.68364474,0.5,1,0.86394079,CO,Agiabampo,Sonora,Central Gulf,
44,Zostera marina,1976,DD,Felger y Lowe,Bacochibampo,26.31,-109.22,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,DD,DD,NA,1,1,1,0.68364474,0.5,1,0.86394079,CO,Agiabampo,Sonora,Central Gulf,
45,Zostera marina,1976,DD,Felger y Lowe,Bahia Concepcion,26.7777,-111.8293,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,No,DD,DD,NA,1,1,0,0.985410801,1,0,0.664235134,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
46,Zostera marina,1979,March,Cliffton,Bahia Concepcion,26.7777,-111.8293,DD,DD,Yes,MEXU,No,DD,DD,NA,1,1,0,0.985410801,1,0,0.664235134,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
47,Ruppia maritima,1995,January-May,Santamaria-Gallegos et al.,Punta Arenas,26.779,-111.867,DD,DD,Yes,"Ciclo de crecimiento y fenologia de la fanerogama Zostera marina L. en Punta Arena, Bahia Concepcion, B.C.S., Mexico",No,DD,DD,NA,1,1,0,0.985410801,1,0.5,0.747568467,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
48,Zostera marina,2000,March-April,Santamaria-Gallegos et al.,Punta Arenas,26.78,-111.86,3,DD,Yes,"Estudio de las praderas de fanerogamas marinas en Baja California Sur (Mexico): Ciclo de vida y estrategias reproductivas de Zostera marina, Halodule wrightii y Halophila decipiens",No,DD,DD,NA,1,1,0,0.985410801,1,0,0.664235134,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
49,Zostera marina,2000,March-April,Santamaria-Gallegos et al.,Punta Arenas,26.7813,-111.8643,3,DD,Yes,"Estudio de las praderas de fanerogamas marinas en Baja California Sur (Mexico): Ciclo de vida y estrategias reproductivas de Zostera marina, Halodule wrightii y Halophila decipiens",No,DD,DD,NA,1,1,0,0.985410801,1,0,0.664235134,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
50,Zostera marina,2009,January,Riosmena-Rodriguez et al.,Bahia Concepcion,26.779,-111.8672,DD,DD,No,Conservation status of Zostera marina populations at Mexican Pacific,No,DD,DD,NA,1,1,0,0.985410801,1,0.5,0.747568467,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
51,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Punta Arenas,26.78,-111.86,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",No,DD,DD,NA,1,1,0,0.985410801,1,0,0.664235134,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
52,Zostera marina,1994-1995,December-May,Santamaria-Gallegos et al.,Punta Arenas,26.779,-111.867,DD,DD,Yes,Phenology and growth cycle of annual subtidal eelgrass in a subtropical locality,No,DD,DD,NA,1,1,0,0.985410801,1,0.5,0.747568467,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
53,Zostera marina,2000-2002,March-June,Talbots et al.,Punta Arenas,26.76,-111.86,DD,DD,Yes,The structure of genetic diversity in Eelgrass (Zostera marina L.) along the North Pacific and Bering Sea coasts of Alaska,No,DD,DD,NA,1,1,0,0.985410801,1,0,0.664235134,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
54,Zostera marina,2000-2002,March-June,Muniz-Salazar et al.,Punta Arenas,26.78,-111.86,DD,DD,Yes,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,No,DD,DD,NA,1,1,0,0.985410801,1,0,0.664235134,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
55,Zostera marina,1974,April,Felger et al.,Bahia de Kino,28.84,-111.97,DD,DD,Yes,MEXU,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,1,0.831264397,CO,Bahia de Kino,Sonora,Central Gulf,
56,Ruppia maritima,1975,June,Felger,Bahia de Kino,28.84,-111.97,DD,DD,Yes,ARIZ,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,1,0.831264397,CO,Bahia de Kino,Sonora,Central Gulf,
57,Zostera marina,1975,June,Felger et al.,Bahia de Kino,28.84,-111.97,DD,DD,Yes,MEXU,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,1,0.831264397,CO,Bahia de Kino,Sonora,Central Gulf,
58,Ruppia maritima,1980,September,Felger y Schmalzel,Bahia de Kino,28.84,-111.97,DD,DD,Yes,MEXU,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,1,0.831264397,CO,Bahia de Kino,Sonora,Central Gulf,
59,Zostera marina,1983,January,Felger et al.,Bahia de Kino,28.84,-111.97,DD,DD,Yes,MEXU,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,1,0.831264397,CO,Bahia de Kino,Sonora,Central Gulf,
60,Zostera marina,2007,April,Felger,Bahia de Kino,28.84,-111.97,DD,DD,No,ARIZ,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,1,0.831264397,CO,Bahia de Kino,Sonora,Central Gulf,
61,Zostera marina,2007,April,Felger,Bahia de Kino,28.84,-111.97,DD,DD,No,UNISON:USON,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,1,0.831264397,CO,Bahia de Kino,Sonora,Central Gulf,
62,Zostera marina,2007,April,Felger et al.,Bahia de Kino,28.84,-111.97,DD,DD,No,MEXU,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,1,0.831264397,CO,Bahia de Kino,Sonora,Central Gulf,
63,Zostera marina,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia de Kino,28.84,-111.97,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,1,0.831264397,CO,Bahia de Kino,Sonora,Central Gulf,
64,Zostera marina,1986-1988,DD,Ramirez-Garcia y Lot,Bahia de Kino,28.76,-111.88,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,1,0.831264397,CO,Bahia de Kino,Sonora,Central Gulf,
65,Zostera marina,2000-2002,October-May,Basurto,Bahia de Kino,28.84,-111.997,DD,DD,Yes,Biological and ecological mechanisms supporting marine self-governance: the Seri callo de hacha fishery in Mexico,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,1,0.831264397,CO,Bahia de Kino,Sonora,Central Gulf,
66,Ruppia maritima,1921,DD,Johnston,Bahia de La Paz,24.14,-110.39,DD,DD,Yes,Expedition of the California Academy of Sciences to the Gulf of California,No,0,DD,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur,Southern Gulf,
67,Ruppia maritima,1976,DD,Felger y Lowe,Bahia de La Paz,24.14,-110.39,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,No,0,DD,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur,Southern Gulf,
68,Ruppia maritima,1987,DD,Ramirez-Garcia y Lot,Bahia de La Paz,24.14,-110.39,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",No,0,DD,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur,Southern Gulf,
69,Ruppia maritima,2009,May,Lopez-Calderon et al.,Bahia de La Paz,24.14,-110.39,DD,DD,No,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",No,0,DD,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur,Southern Gulf,
70,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia de La Paz,24.14,-110.39,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",No,0,DD,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur,Southern Gulf,
71,Ruppia maritima,1991,April,Ortiz-Calderon,Bahia de los Angeles,28.58,-113.12,DD,DD,No,MEXU,"Reserva de la Biosfera Zona Marina Bahía de los Angeles, Canales de Ballenas y de Salsipuedes",DD,DD,NA,0,0,0,0,0.5,0.5,0.166666667,NT,Bahia de los Angeles,Baja California,Central Gulf,
72,Ruppia maritima,1991,April,Ortiz-Calderon,Bahia de los Angeles,28.58,-113.12,DD,DD,No,MEXU,"Reserva de la Biosfera Zona Marina Bahía de los Angeles, Canales de Ballenas y de Salsipuedes",DD,DD,NA,0,0,0,0,0.5,0.5,0.166666667,NT,Bahia de los Angeles,Baja California,Central Gulf,
73,Ruppia maritima,2000,February,Felger,Bahia El Sargento,29.32,-112.35,DD,DD,Yes,ARIZ,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
74,Zostera marina,2000,March-April,Torre-Cosio,Bahia El Sargento,29.32,-112.31,DD,DD,Yes,Inventario y monitoreo del Canal del Infiernillo para el co-manejo de los recursos marinos en el territorio Seri. Golfo de California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0.5,0.260174047,NT,Canal del Infiernillo ,Sonora,Central Gulf,
75,Zostera marina,1986-1988,DD,Ramirez-Garcia y Lot,Bahia El Sargento,29.32,-112.35,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
76,Ruppia maritima,2009,DD,Meling-Lopez,Bahia Lobos,27.42,-110.53,DD,DD,No,Com.Pers.,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.75531098,0.5,0,0.709218497,CR,Bahia de Lobos,Sonora,Central Gulf,
77,Zostera marina,2007,DD,Orduna-Rojas y Riosmena-Rodriguez,Bahia Navachiste - Isla El Metate,25.48,-108.88,DD,DD,No,Inventario de la macrofauna marina de interes economico de las islas del norte de Sinaloa. Mexico,Sitio Ramsar Sistema Lagunar San Ignacio-Navachiste-Macapule,DD,DD,NA,1,1,1,0.55822882,0.5,1,0.843038137,CO,Navachiste,Sinaloa ,Southern Gulf,
78,Zostera marina,1949,March,Dawson,Bahia San Carlos,27.97,-111.12,DD,DD,Yes,SI NMNH,Sitio Ramsar Estero El Soldado,DD,DD,NA,1,1,1,0.727668288,0.5,0,0.704611381,CR,Bahia San Carlos,Sonora,Central Gulf,
79,Zostera marina,1970,DD,Den Hartog,Bahia San Carlos,27.94,-111.06,DD,DD,Yes,The seagrasses of the world,Sitio Ramsar Estero El Soldado,DD,DD,NA,1,1,1,0.727668288,0.5,1,0.871278048,CO,Bahia San Carlos,Sonora,Central Gulf,
80,Zostera marina,1970,DD,Den Hartog,Bahia San Carlos,27.95,-111.06,DD,DD,No,The seagrasses of the world,Sitio Ramsar Estero El Soldado,DD,DD,NA,1,1,1,0.727668288,0.5,0.5,0.787944715,CR,Bahia San Carlos,Sonora,Central Gulf,
81,Zostera marina,1973,March,Brown,Bahia San Carlos,27.98,-111.12,DD,DD,No,ASU_Plants,Sitio Ramsar Estero El Soldado,DD,DD,NA,1,1,1,0.727668288,0.5,0.5,0.787944715,CR,Bahia San Carlos,Sonora,Central Gulf,
